id,timestamp,source,rating,feedback_text,sentiment,category,issue_summary
1847,N/A,app_store_review,1,THANK YOU TO THE AGENT PRIYA WHO HANDLED MY COMPLAINT SO WELL - MY GROCERIES ORDER IN PUNE,positive,Staff/Support,Agent Priya handled complaint well
1695,2024-02-01 18:30:00,app_store_review,,"Five stars, the app is fantastic and reliable (order #409153)",positive,Other,App is fantastic and reliable
2771,2024-02-13 18:30:00,app_store_review,1,"Cannot add address, the save button is greyed out",negative,App Bug,Cannot add address due to greyed out save button
2770,2024-03-14 18:30:00,survey_comment,3,Works fine for me most of the time,neutral,Other,App works fine most of the time
2075,2024-03-31 18:30:00,app_store_review,1,Coupon SAVE50 did not apply at checkout and I paid full price - my sushi order in Bangalore,negative,Billing,Coupon did not apply at checkout
2529,2024-03-25 11:01:48,app_store_review,5,"Oh great, crashed again right at checkout, just love it",negative,App Bug,App crashed at checkout
2584,2024-03-17 18:30:00,support_ticket,2,Login keeps failing and when I finally got in the coupon did not apply either,negative,App Bug,Login keeps failing and coupon did not apply
2114,2024-01-20 18:30:00,survey_comment,2,"My refund still hasn't cooome after 10 days, this is ridiculous (order #190615)",negative,Billing,Refund not received after 10 days
2716,N/A,app_store_review,5,Why is there a service fee I never agreed to on my bill,negative,Billing,Unagreed service fee on bill
2528,2024-03-12 18:30:00,app_store_review,5,"Wonderful, charged me twice, exactly what I wanted today",negative,Billing,Charged twice for order
2497,2024-01-04 18:30:00,support_ticket,2,Driver could not find my building and just cancelled - my groceries order in Bangalore,negative,Delivery,Driver cancelled order after failing to find building
2281,2024-02-29 18:30:00,app_store_review,1,Payment failed but money got deducted from my account Agent Priya was handling it.,negative,Billing,Payment failed but money deducted
1591,2024-03-15 18:30:00,survey_comment,3,"Average experience, could be better",neutral,Other,Average experience
2224,2024-09-30 18:30:00,support_ticket,3,App stuck on loading screen for 5 minutes then closed (order #363537),negative,App Bug,App stuck on loading screen and closed
1054,2024-01-26 18:30:00,app_store_review,2,The store staff was friendly when I picked up my order (order #132537),positive,Staff/Support,Store staff was friendly during pickup
1493,2024-02-08 18:30:00,support_ticket,1,"Items were missing from my delivery, got only half the order (order #133795)",negative,Delivery,Missing items from delivery
2001,N/A,survey_comment,,Payment failed but money got deducted from my account (order #536535),negative,Billing,Payment failed but money deducted
2710,2024-01-17 18:30:00,app_store_review,5,Order marked delivered but nothing arrived at my place,negative,Delivery,Order marked delivered but not received
1689,2024-02-23 18:30:00,app_store_review,2,The invoice amount does not match what the app showed me,negative,Billing,Invoice amount does not match app display
2655,2024-03-02 18:30:00,survey_comment,,....,neutral,Other,Unclear feedback
1436,2024-02-05 18:30:00,survey_comment,4,"Great experience overall, food always fresh - my thali order in Kolkata",positive,Other,"Great experience, fresh food"
2234,2024-01-18 22:18:15,survey_comment,1,Nobody from support replied to my three emails,negative,Staff/Support,Support did not reply to emails
1682,2023-12-31 18:30:00,app_store_review,1,"Items were missing from my delivery, got only half the order (order #908323)",negative,Delivery,Missing items from delivery
1508,2024-03-20 18:30:00,app_store_review,3,"PACKAGE WAS LEFT AT THE WRONG DOOR, I NEVER RECEIVED IT AGENT PRIYA WAS HANDLING IT.",negative,Delivery,"Package left at wrong door, not received"
2384,2024-03-26 03:42:43,survey_comment,2,The new version drains my battery so fast Agent Meera was handling it.,negative,App Bug,New app version drains battery fast
2039,2024-02-12 18:30:00,app_store_review,2,The new version drains my battery so fast - my groceries order in Pune,negative,App Bug,New app version drains battery fast
1377,2024-03-25 00:00:00,support_ticket,2,"Package was left at the wrong door, I never received it Agent Vikram was handling it.",negative,Delivery,"Package left at wrong door, not received"
2530,2024-02-28 00:00:00,app_store_review,4,"BRILLIANT, MY REFUND IS 'ON THE WAY' FOR THE THIRD WEEK NOW, LOVELY",negative,Billing,Refund delayed for three weeks
2069,2024-03-23 00:00:00,app_store_review,4,"Love this app, ordering is so smooth and fast - my milk order in Bangalore",positive,Other,App is smooth and fast for ordering
1544,2024-02-23 18:30:00,support_ticket,2,Delivery person was rude and threw the bag on the floor (order #137042),negative,Delivery,Rude delivery person
2583,2024-02-25 02:22:32,support_ticket,1,Order came late AND I was charged a delivery fee that should have been free,negative,Delivery,Order was late and charged an incorrect delivery fee
1788,N/A,app_store_review,3,meh,neutral,Other,Indifferent feedback
2204,2024-01-09 18:30:00,app_store_review,3,"It is okay, nothing special",neutral,Other,"Okay experience, nothing special"
2625,N/A,support_ticket,3,👍,positive,Other,Positive feedback
1692,2024-01-05 00:00:00,survey_comment,2,Nobody from support replied to my three emails - my thali order in Kolkata,negative,Staff/Support,Support did not reply to emails
2610,2024-02-02 18:30:00,app_store_review,,Please add more vegan restaurants to the platform,neutral,Other,Request to add more vegan restaurants
1350,2024-11-01 18:30:00,app_store_review,5,"Love this app, ordering is so smooth and fast (order #245117)",positive,Other,App is smooth and fast for ordering
1801,2024-01-11 18:30:00,app_store_review,2,Search bar shows no results even for items that exist (order #954678),negative,App Bug,Search bar shows no results for existing items
1882,2024-01-05 18:33:42,support_ticket,1,Notifications stopped working after the update Agent Meera was handling it.,negative,App Bug,Notifications stopped working after update
2713,2024-01-19 00:00:00,app_store_review,5,Coupon SAVE50 did not apply at checkout and I paid full price,negative,Billing,Coupon did not apply at checkout
